Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),10:03,18:48,08h 45m,469,1 Seat available,"4.1
77",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,19:55,07h 54m,627,8 Seats available,"3.6
104",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,21:25,07h 39m,729,5 Seats available,"2.5
26",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,620,20 Seats available,"4.8
11",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,22:20,06h 55m,729,10 Seats available,"2.5
37",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,567,9 Seats available,"3.0
19",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,640,13 Seats available,"3.3
8",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,640,17 Seats available,"3.1
10",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,640,33 Seats available,"4.4
38",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,473,18 Seats available,"3.5
57",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,640,12 Seats available,"4.0
50",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,640,36 Seats available,"3.4
31",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,640,24 Seats available,"3.8
13",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,627,7 Seats available,"3.6
39",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,09:30,10h 30m,469,28 Seats available,"4.1
28",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,09:35,10h 05m,469,23 Seats available,"3.2
59",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,627,14 Seats available,"3.5
48",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,900,23 Seats available,"4.4
477",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,VE A/C Sleeper (2+1),20:10,06:45,10h 35m,950,13 Seats available,"4.5
134",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,599,37 Seats available,"4.2
336",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,900,17 Seats available,"3.9
273",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Sleeper (2+1),19:15,06:30,11h 15m,1100,18 Seats available,"4.4
103",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Holy Maria Travels,A/C Semi Sleeper (2+2),00:10,04:10,04h 00m,600,5 Seats available,3.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Semi Sleeper (2+2),00:15,06:15,06h 00m,649,2 Seats available,"4.1
15",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Sleeper (2+1),00:25,06:10,05h 45m,799,2 Seats available,"4.2
26",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Adrin Travels,A/C Seater/Sleeper (2+1),01:20,05:50,04h 30m,850,14 Seats available,"4.3
7",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Sleeper (2+1),01:30,06:00,04h 30m,899,1 Seat available,3.9,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,550,18 Seats available,"4.2
28",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,01:45,03h 30m,650,22 Seats available,"4.1
13",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,800,31 Seats available,"3.3
23",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Sonia Travels,A/C Seater/Sleeper (2+1),23:30,04:29,04h 59m,700,20 Seats available,4.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Surya Connect,Volvo A/C Semi Sleeper (2+2),23:55,05:15,05h 20m,630,29 Seats available,"4.7
30",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,1200,19 Seats available,"4.5
542",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,20:45,08h 30m,799,31 Seats available,"4.4
208",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,1100,2 Seats available,"4.3
211",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
AdSuraj Holidays,VE A/C Sleeper (2+1),22:00,07:15,09h 15m,1300,17 Seats available,"4.1
258",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,1499,9 Seats available,"4.2
298",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Silver Line Travels,NON A/C Semi Sleeper (2+2),20:30,05:45,09h 15m,799,9 Seats available,"4.2
280",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
SAAM BUS,VE A/C Sleeper (2+1),20:30,06:15,09h 45m,1300,9 Seats available,"4.4
101",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
AdSuraj Holidays,NON AC Seater / Sleeper 2+1,20:15,05:55,09h 40m,1150,6 Seats available,"3.6
41",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
NS Transports,Non A/C Seater / Sleeper (2+1),20:30,06:35,10h 05m,1100,26 Seats available,"4.2
260",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
NS Transports,VE A/C Sleeper (2+1),21:16,06:30,09h 14m,1500,15 Seats available,"4.3
117",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
A1 Travels,A/C Seater / Sleeper (2+1),01:30,07:00,05h 30m,750,1 Seat available,"3.0
6",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Shajees Motors,A/C Semi Sleeper (2+2),19:30,00:40,05h 10m,600,5 Seats available,"3.8
37",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Ubc travels,A/C Semi Sleeper (2+2),20:40,01:00,04h 20m,700,17 Seats available,"3.6
10",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Holy Maria Travels,A/C Semi Sleeper (2+2),20:50,02:10,05h 20m,700,9 Seats available,3.6,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,02:30,05h 35m,800,6 Seats available,"5.0
20",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,02:20,05h 05m,700,39 Seats available,4.4,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Cochin Express,A/C Sleeper (2+1),21:15,02:30,05h 15m,900,9 Seats available,"4.4
9",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Sonia Travels,A/C Semi Sleeper (2+2),21:20,02:30,05h 10m,600,35 Seats available,3.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Madhavi Travels,A/C Semi Sleeper (2+2),21:30,02:15,04h 45m,799,19 Seats available,"4.4
31",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:30,02:45,05h 15m,630,5 Seats available,"4.6
16",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 811,Super Fast Non AC Seater (2+3),02:20,08:25,06h 05m,285,41 Seats available,"4.9
5",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 1126,Super Fast Non AC Seater (2+3),03:16,09:31,06h 15m,273,35 Seats available,"4.1
23",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 1127,Super Fast Non AC Seater (2+3),05:01,11:16,06h 15m,273,22 Seats available,"4.1
13",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 2132,Swift Deluxe Non AC Air Bus (2+2),07:32,12:59,05h 27m,463,21 Seats available,"4.5
7",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 580,Super Express Non AC Seater Air Bus (2+2),08:06,13:26,05h 20m,396,13 Seats available,3.9,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 983,Super Fast Non AC Seater (2+3),08:15,14:45,06h 30m,266,32 Seats available,3.9,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 53,SWIFT-GARUDA A/C SEATER BUS,08:29,13:20,04h 51m,586,20 Seats available,"2.7
12",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 791,Super Fast Non AC Seater (2+3),08:45,14:15,05h 30m,285,42 Seats available,3.9,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 796,Super Fast Non AC Seater (2+3),09:10,14:55,05h 45m,285,39 Seats available,"4.4
15",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 579,Super Express Non AC Seater Air Bus (2+2),10:00,15:20,05h 20m,396,13 Seats available,"2.5
8",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 709,Super Fast Non AC Seater (2+3),10:30,16:30,06h 00m,285,46 Seats available,"3.4
9",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 932,Super Fast Non AC Seater (2+3),11:15,17:00,05h 45m,273,37 Seats available,"3.4
6",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 55,SWIFT-GARUDA A/C SEATER BUS,12:02,17:05,05h 03m,586,21 Seats available,"3.5
14",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 1076,Super Fast Non AC Seater (2+3),13:00,19:15,06h 15m,285,45 Seats available,"4.0
9",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),13:32,18:42,05h 10m,285,10 Seats available,"4.4
10",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),03:40,08:00,04h 20m,699,8 Seats available,"3.3
6",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
A1 Travels,Bharat Benz A/C Sleeper (2+1),04:00,08:15,04h 15m,400,25 Seats available,"3.0
16",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,17:45,05h 30m,599,34 Seats available,"4.6
23",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
A1 Travels,Non A/C Seater / Sleeper (2+1),21:30,04:00,06h 30m,800,4 Seats available,3.3,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),03:30,09:00,05h 30m,600,12 Seats available,"2.7
18",Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
BLM Transports,A/C Sleeper (2+1),22:00,07:00,09h 00m,1178,7 Seats available,"4.1
96",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
A1 Travels,A/C Seater / Sleeper (2+1),20:05,05:30,09h 25m,700,16 Seats available,"3.7
166",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,06:00,09h 00m,600,17 Seats available,"3.7
116",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:05,07:40,08h 35m,1099,4 Seats available,"4.3
37",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:15,07:15,08h 00m,1200,24 Seats available,"2.2
53",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,08:00,08h 30m,1000,32 Seats available,"2.7
18",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),01:00,09:35,08h 35m,1050,9 Seats available,"2.0
7",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,05:45,07h 30m,800,22 Seats available,"2.2
77",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,06:00,07h 30m,800,31 Seats available,"2.3
28",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
KP Travels,Volvo AC Seater Pushback 2+2,23:00,06:30,07h 30m,1799,1 Seat available,"2.9
4",Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),10:03,16:43,06h 40m,377,2 Seats available,"4.5
24",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,18:20,06h 19m,524,12 Seats available,"4.1
23",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,19:15,05h 29m,576,8 Seats available,"2.2
13",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,20:55,05h 30m,576,10 Seats available,"3.2
22",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,22:31,06h 29m,475,14 Seats available,"1.9
5",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,23:30,07h 14m,548,19 Seats available,"3.9
4",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,00:10,07h 25m,548,28 Seats available,3.8,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,02:50,07h 46m,548,35 Seats available,3.8,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,02:05,06h 05m,473,20 Seats available,3.8,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,03:41,07h 10m,548,16 Seats available,3.8,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,04:46,07h 15m,548,37 Seats available,3.8,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,06:01,07h 49m,548,25 Seats available,"3.9
6",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,05:15,06h 43m,524,9 Seats available,"4.1
9",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
